Timestamp;test_speed_out[2];test_speed_out[3];test_current_out[2];test_current_out[3];WheelCurrentSend[2];WheelCurrentSend[3]
844000;-500;-500;-1;-1;-500;-500
845000;-500;-500;0;1;-500;-500
846000;-500;-500;0;1;-520;-520
847000;-520;-520;3;0;-520;-520
849000;-500;-500;3;3;-500;-500
850000;-500;-500;3;3;-500;-500
851000;-500;-500;-3;6;-500;-500
853000;-500;-500;-6;6;-500;-500
854000;-500;-500;-6;6;-500;-500
855000;-500;-500;-3;2;-500;-500
857000;-500;-500;-4;-2;-500;-500
858000;-500;-500;-4;-2;-500;-500
859000;-500;-500;-5;-4;-500;-500
860000;-500;-500;-5;-2;-500;-500
862000;-500;-500;0;-2;-500;-500
863000;-500;-500;4;0;-500;-500
864000;-500;-500;9;-1;-500;-500
866000;-500;-500;9;-1;-500;-500
867000;-500;-500;9;-2;-500;-500
869000;-500;-500;6;0;-500;-500
870000;-500;-500;6;0;-500;-500
871000;-500;-500;5;6;-500;-500
872000;-500;-500;6;8;-500;-500
874000;-500;-500;6;8;-500;-500
875000;-500;-500;7;0;-500;-500
876000;-500;-500;7;0;-500;-500
877000;-500;-500;6;-2;-500;-500
879000;-500;-500;3;0;-500;-500
880000;-500;-500;3;0;-500;-500
882000;-500;-500;3;0;-500;-500
883000;-500;-500;3;6;-500;-500
884000;-500;-500;3;6;-500;-500
885000;-500;-500;5;8;-500;-500
887000;-500;-500;14;1;-500;-500
888000;-500;-500;14;1;-500;-500
889000;-500;-500;14;0;-500;-500
891000;-500;-500;2;1;-500;-500
892000;-500;-500;2;1;-500;-500
893000;-500;-500;-3;0;-500;-500
894000;-500;-500;-3;-1;-500;-500
896000;-500;-500;-3;-1;-500;-500
897000;-500;-500;-3;-1;-500;-500
898000;-500;-500;-3;-1;-500;-500
